id,khabar-gozari,c-comment,tag,score
169624,Fardanews,2,old,0.835536575
1151657,Khabaronline,46,old,0.522462928
169650,Fardanews,51,old,0.339555115
957043,Tabnak,0,old,1
957073,Tabnak,0,off-topic,0.169743783
169698,Fardanews,5,old,0.580010208
1151769,Khabaronline,628,off-topic,0.153340522
1151875,Khabaronline,26,new,0.176267968
957321,Tabnak,0,old,0.34619213
1151888,Khabaronline,248,new,0.582292832
169795,Fardanews,15,old,0.397132909
169796,Fardanews,1,old,0.309154135
957327,Tabnak,0,old,0.901445479
957352,Tabnak,0,old,0.952099727
957357,Tabnak,0,old,1
1151903,Khabaronline,521,new,0.504399282
1152002,Khabaronline,0,off-topic,0.248192575
169859,Fardanews,127,tahlil,0.217392947
957949,Tabnak,0,tahlil,0.218169473
957960,Tabnak,0,off-topic,0.306355302
1152844,Khabaronline,159,new,0.207238025
170227,Fardanews,2,old,0.923631872
958180,Tabnak,0,old,1
170269,Fardanews,6,old,1
958252,Tabnak,0,old,1
958256,Tabnak,0,off-topic,0.419964483
170298,Fardanews,19,new,0.298544023
958329,Tabnak,0,old,1
1153832,Khabaronline,0,off-topic,0.202751063
171473,Fardanews,0,off-topic,0.296522639
1154414,Khabaronline,2,off-topic,0.193489386
1155110,Khabaronline,5,off-topic,0.25504442
1158556,Khabaronline,1,off-topic,0.180756956
175027,Fardanews,0,off-topic,0.35389863
966927,Tabnak,0,off-topic,1
175125,Fardanews,1,off-topic,0.117337739
967098,Tabnak,2,off-topic,0.859748768
175508,Fardanews,5,off-topic,0.269519457
1159158,Khabaronline,0,off-topic,0.464764419
967527,Tabnak,2,off-topic,0.191517279
968527,Tabnak,0,off-topic,0.201838587
1159889,Khabaronline,10,off-topic,0.913374345
977160,Tabnak,83,off-topic,0.231290293
182809,Fardanews,2,off-topic,0.985953143
977238,Tabnak,0,off-topic,0.994543264
1164919,Khabaronline,2,off-topic,0.912078716
985437,Tabnak,0,off-topic,0.185163328
188356,Fardanews,0,off-topic,0.967767604
985520,Tabnak,0,off-topic,0.975921524
1168639,Khabaronline,10,off-topic,0.872946854
994040,Tabnak,0,off-topic,0.189514663
194480,Fardanews,0,off-topic,0.955564384
997667,Tabnak,0,off-topic,0.193626219
997799,Tabnak,0,off-topic,0.302117586
997812,Tabnak,0,off-topic,0.286072009
999054,Tabnak,0,off-topic,0.33890668
1015473,Tabnak,0,off-topic,0.248973619
1015474,Tabnak,26,off-topic,0.999720756
221055,Fardanews,2,off-topic,0.989677596
221110,Fardanews,0,off-topic,0.478982983
1209846,Khabaronline,6,off-topic,0.177124207
226939,Fardanews,0,off-topic,0.204299807
1220907,Khabaronline,8,off-topic,0.131897654
1221054,Khabaronline,10,off-topic,0.992867262
1040713,Tabnak,0,off-topic,0.148145195
1045158,Tabnak,5,off-topic,0.180928941
246362,Fardanews,0,off-topic,0.10476722
1060893,Tabnak,0,off-topic,0.279240864
1253616,Khabaronline,41,off-topic,0.900366904
258572,Fardanews,1,off-topic,0.995615894
1061053,Tabnak,0,off-topic,0.990510783
1081049,Tabnak,0,off-topic,0.221874412
